iter	Logloss
0	0.6541891722
1	0.6240911816
2	0.5976816738
3	0.5749313664
4	0.5528271759
5	0.5339383776
6	0.5195923337
7	0.5056286073
8	0.495217436
9	0.4834969223
10	0.474773351
11	0.466891577
12	0.4590619974
13	0.4524888898
14	0.4469414584
15	0.4418085902
16	0.4374632013
17	0.4338063882
18	0.4288067175
19	0.4253425415
20	0.4225113324
21	0.4194868478
22	0.4159094839
23	0.4137227337
24	0.4117072552
25	0.4094696627
26	0.4075265068
27	0.4050480989
28	0.403357142
29	0.4016786913
30	0.4003462324
31	0.3988408835
32	0.397176873
33	0.3953252457
34	0.3940714594
35	0.3925948213
36	0.391306063
37	0.3899625794
38	0.3888492147
39	0.3876168724
40	0.3866198698
41	0.3855899264
42	0.3848778455
43	0.3839005958
44	0.3833745235
45	0.3828202873
46	0.3820200175
47	0.3810816781
48	0.3803152135
49	0.3796319003
50	0.3787322564
51	0.378298921
52	0.3775579851
53	0.3767913995
54	0.376136023
55	0.3755503961
56	0.3748328073
57	0.3743059598
58	0.3738055256
59	0.3733179196
60	0.3725406161
61	0.3721545049
62	0.3709043964
63	0.3705468067
64	0.3698063582
65	0.3693329528
66	0.3686613787
67	0.3682008041
68	0.3673721065
69	0.367025129
70	0.3666998668
71	0.3662684967
72	0.3660107998
73	0.3657347722
74	0.3655063548
75	0.3651421305
76	0.364531795
77	0.3642132636
78	0.3639854793
79	0.3636548297
80	0.3631145798
81	0.3628127392
82	0.3622416504
83	0.3619755671
84	0.361345354
85	0.3610914652
86	0.3608583574
87	0.3605814955
88	0.3602762775
89	0.3596193113
90	0.3593462812
91	0.3590724953
92	0.3588453515
93	0.3586027963
94	0.358394474
95	0.3581957288
96	0.3580090925
97	0.3578498688
98	0.3576032845
99	0.3571036389
100	0.3569489154
101	0.3564760996
102	0.356298615
103	0.3561205865
104	0.3559149144
105	0.3557785128
106	0.35554657
107	0.3553689426
108	0.3548976937
109	0.354536563
110	0.35423716
111	0.3540649758
112	0.353749018
113	0.3535605028
114	0.3533487046
115	0.3530188608
116	0.3528142132
117	0.3526291625
118	0.3521652516
119	0.3519432991
120	0.3516973326
121	0.3515718411
122	0.3514046787
123	0.3512798441
124	0.3510554599
125	0.3509305251
126	0.3507483556
127	0.350614514
128	0.3504372648
129	0.3502731241
130	0.3501148495
131	0.3499628197
132	0.3498036725
133	0.3493219807
134	0.3491485732
135	0.3491311796
136	0.3490006986
137	0.3488734401
138	0.3486954257
139	0.3485738068
140	0.3484458091
141	0.3483187552
142	0.3482161912
143	0.3477864612
144	0.3476594626
145	0.3475072255
146	0.3474403796
147	0.3471638545
148	0.3470620333
149	0.3469401046
150	0.3467832431
151	0.3466080599
152	0.3464518748
153	0.3463478928
154	0.3462515528
155	0.346101952
156	0.3460097928
157	0.3458447412
158	0.345689012
159	0.3454758354
160	0.3453496313
161	0.3452194489
162	0.3450706239
163	0.3448865424
164	0.3448073859
165	0.3446892749
166	0.3443296771
167	0.3441649168
168	0.3440355838
169	0.3439717435
170	0.3436774487
171	0.3434368717
172	0.3432536413
173	0.3429536509
174	0.3427955577
175	0.3425809001
176	0.3424354216
177	0.3423404989
178	0.3422410206
179	0.3418746682
180	0.3417885591
181	0.3417038287
182	0.341630019
183	0.3415405173
184	0.341441356
185	0.3413232258
186	0.3412211323
187	0.3411069034
188	0.3409474241
189	0.3407920784
190	0.3406565997
191	0.340531855
192	0.3404086149
193	0.3403622119
194	0.3402323399
195	0.3400822978
196	0.3398716549
197	0.3397485643
198	0.3396181107
199	0.3395086142
200	0.3394221687
201	0.3393427862
202	0.3392171449
203	0.3391286529
204	0.3390025065
205	0.3383481065
206	0.3381860713
207	0.3380810432
208	0.3373456372
209	0.3371813971
210	0.3366196519
211	0.3361993055
212	0.3359483135
213	0.3358391753
214	0.335709925
215	0.3355555498
216	0.3353736322
217	0.3351588414
