iter	Passed	Remaining
0	182	181963
1	195	97764
2	209	69689
3	219	54617
4	227	45286
5	234	38926
6	243	34505
7	251	31208
8	259	28581
9	265	26308
10	272	24491
11	278	22951
12	285	21683
13	292	20600
14	298	19611
15	306	18863
16	312	18092
17	319	17436
18	326	16879
19	334	16390
20	341	15904
21	348	15470
22	355	15100
23	362	14747
24	369	14420
25	376	14093
26	384	13865
27	391	13606
28	399	13373
29	406	13145
30	413	12920
31	420	12734
32	428	12552
33	437	12432
34	444	12258
35	452	12118
36	459	11954
37	466	11819
38	473	11669
39	480	11525
40	487	11394
41	493	11262
42	500	11147
43	507	11030
44	514	10928
45	522	10825
46	529	10735
47	537	10652
48	543	10555
49	550	10455
50	557	10368
51	564	10296
52	571	10204
53	577	10125
54	584	10046
55	591	9963
56	597	9888
57	604	9810
58	610	9743
59	617	9675
60	624	9608
61	630	9545
62	638	9499
63	647	9473
64	660	9501
65	673	9524
66	688	9582
67	701	9620
68	715	9651
69	727	9669
70	737	9652
71	747	9635
72	758	9629
73	768	9612
74	777	9589
75	785	9555
76	794	9525
77	806	9530
78	816	9518
79	826	9503
80	839	9519
81	850	9523
82	859	9498
83	870	9495
84	881	9484
85	890	9465
86	901	9460
87	910	9432
88	918	9405
89	927	9375
90	936	9352
91	944	9321
92	953	9295
93	961	9269
94	970	9245
95	978	9215
96	989	9208
97	996	9172
98	1004	9143
99	1013	9119
100	1021	9090
101	1032	9086
102	1044	9097
103	1058	9119
104	1068	9109
105	1079	9100
106	1087	9073
107	1097	9064
108	1107	9055
109	1117	9041
110	1126	9025
111	1136	9007
112	1149	9019
113	1159	9008
114	1170	9008
115	1180	8997
116	1190	8984
117	1201	8977
118	1210	8958
119	1219	8943
120	1227	8916
121	1238	8913
122	1252	8927
123	1261	8910
124	1271	8901
125	1281	8891
126	1293	8889
127	1303	8879
128	1313	8866
129	1322	8852
130	1332	8840
131	1342	8825
132	1352	8814
133	1361	8797
134	1369	8777
135	1375	8737
136	1385	8724
137	1392	8700
138	1401	8683
139	1411	8671
140	1420	8651
141	1428	8632
142	1437	8614
143	1446	8600
144	1454	8575
145	1462	8555
146	1470	8533
147	1479	8515
148	1488	8499
149	1496	8481
150	1505	8464
151	1513	8444
152	1522	8426
153	1531	8411
