Model,roc_auc,f1_score,recall,accuracy
lightgbm,0.8990476190476191,0.8620689655172413,1.0,0.8260869565217391
catboost,0.8914285714285715,0.8363636363636363,0.92,0.8043478260869565
ensemble_full,0.878095238095238,0.7111111111111111,0.64,0.717391304347826
ensemble,0.878095238095238,0.7111111111111111,0.64,0.717391304347826
logistic_elasticnet,0.8590476190476191,0.8235294117647058,0.84,0.8043478260869565
logistic_regression,0.8571428571428571,0.8235294117647058,0.84,0.8043478260869565
random_forest,0.8552380952380952,0.7719298245614035,0.88,0.717391304347826
hist_gradient_boosting,0.8476190476190476,0.8,0.88,0.7608695652173914
xgboost,0.8476190476190476,0.8,0.88,0.7608695652173914
custom_architecture_balanced,0.7961904761904761,0.7755102040816326,0.76,0.7608695652173914
custom_architecture_balanced_mit_both,0.7619047619047619,0.6521739130434783,0.6,0.6521739130434783
custom_architecture_hybrid_mit_both,0.7428571428571429,0.5263157894736842,0.4,0.6086956521739131
custom_architecture_accuracy,0.7142857142857143,0.5909090909090909,0.52,0.6086956521739131
custom_architecture_balanced_mit_class,0.7066666666666666,0.6666666666666666,0.64,0.6521739130434783
custom_architecture_hybrid,0.6723809523809524,0.5853658536585366,0.48,0.6304347826086957
custom_architecture_balanced_mit_reweigh,0.6533333333333333,0.6046511627906976,0.52,0.6304347826086957
custom_architecture_hybrid_mit_class,0.5714285714285714,0.7213114754098361,0.88,0.6304347826086957
custom_architecture_accuracy_mit_reweigh,0.5219047619047619,0.6461538461538462,0.84,0.5
tabular_transformer,0.4571428571428572,0.4897959183673469,0.48,0.45652173913043476
custom_architecture_accuracy_mit_class,0.40952380952380957,0.704225352112676,1.0,0.5434782608695652
mlp,0.36190476190476195,0.6865671641791045,0.92,0.5434782608695652
custom_architecture_accuracy_mit_both,0.3276190476190476,0.6666666666666666,0.92,0.5
custom_architecture_hybrid_mit_reweigh,0.31428571428571433,0.704225352112676,1.0,0.5434782608695652
