Accuracy,F1,Recall,Precision,ROC_AUC,Count,Model,Attribute,Group
0.8992537313432836,0.5983471074380166,0.70703125,0.5186246418338109,0.92298563601577,2412,logistic_regression,sex,Female
0.7538210719380477,0.6847599164926931,0.8770053475935828,0.5616438356164384,0.878148041018598,4907,logistic_regression,sex,Male
0.8615384615384616,0.5263157894736842,0.5555555555555556,0.5,0.861111111111111,65,logistic_regression,race,Amer-Indian-Eskimo
0.7584541062801933,0.7093023255813954,0.8591549295774648,0.6039603960396039,0.8579121789560894,207,logistic_regression,race,Asian-Pac-Islander
0.9024390243902439,0.6595744680851063,0.7948717948717948,0.5636363636363636,0.9377828054298643,656,logistic_regression,race,Black
0.875,0.625,0.7142857142857143,0.5555555555555556,0.9512195121951219,48,logistic_regression,race,Other
0.7915812706921015,0.6729341909945572,0.856962822936358,0.5539714867617108,0.8980960209184907,6343,logistic_regression,race,White
0.8992537313432836,0.6009852216748769,0.71484375,0.5184135977337111,0.9229421527133581,2412,logistic_elasticnet,sex,Female
0.7546362339514978,0.6851464435146444,0.8756684491978609,0.5627147766323024,0.8780908181614374,4907,logistic_elasticnet,sex,Male
0.8615384615384616,0.5263157894736842,0.5555555555555556,0.5,0.861111111111111,65,logistic_elasticnet,race,Amer-Indian-Eskimo
0.7632850241545893,0.7134502923976608,0.8591549295774648,0.61,0.8592584921292461,207,logistic_elasticnet,race,Asian-Pac-Islander
0.9009146341463414,0.6524064171122995,0.782051282051282,0.5596330275229358,0.9382264217904357,656,logistic_elasticnet,race,Black
0.875,0.625,0.7142857142857143,0.5555555555555556,0.9477351916376306,48,logistic_elasticnet,race,Other
0.7922118871196595,0.6737623762376238,0.8575929426591052,0.5548308194048104,0.898092708682774,6343,logistic_elasticnet,race,White
0.9150082918739635,0.6483704974271012,0.73828125,0.5779816513761468,0.9377608998144713,2412,xgboost,sex,Female
0.7876502954962299,0.7207931404072884,0.8990641711229946,0.601520572450805,0.9106450387782842,4907,xgboost,sex,Male
0.8923076923076924,0.5882352941176471,0.5555555555555556,0.625,0.8869047619047619,65,xgboost,race,Amer-Indian-Eskimo
0.7874396135265701,0.725,0.8169014084507042,0.651685393258427,0.8734465617232808,207,xgboost,race,Asian-Pac-Islander
0.9115853658536586,0.7010309278350515,0.8717948717948718,0.5862068965517241,0.9611613876319758,656,xgboost,race,Black
0.8958333333333334,0.7058823529411765,0.8571428571428571,0.6,0.9721254355400697,48,xgboost,race,Other
0.8213778968942141,0.711484593837535,0.8802772526780088,0.597008547008547,0.9246081492657701,6343,xgboost,race,White
0.9133499170812603,0.6475548060708263,0.75,0.56973293768546,0.9396016929499071,2412,lightgbm,sex,Female
0.7827593234155288,0.7181385510312004,0.9077540106951871,0.5940507436570429,0.9100025554317034,4907,lightgbm,sex,Male
0.8615384615384616,0.5263157894736842,0.5555555555555556,0.5,0.876984126984127,65,lightgbm,race,Amer-Indian-Eskimo
0.7874396135265701,0.7317073170731707,0.8450704225352113,0.6451612903225806,0.8733429991714995,207,lightgbm,race,Asian-Pac-Islander
0.9115853658536586,0.7040816326530612,0.8846153846153846,0.5847457627118644,0.9605181439091474,656,lightgbm,race,Black
0.875,0.6666666666666666,0.8571428571428571,0.5454545454545454,0.9686411149825784,48,lightgbm,race,Other
0.817436544221977,0.7088989441930619,0.888468809073724,0.589711417816813,0.9245815851353221,6343,lightgbm,race,White
0.9116915422885572,0.6395939086294417,0.73828125,0.564179104477612,0.9382374043367346,2412,catboost,sex,Female
0.7866313429794172,0.7204272363150868,0.9017379679144385,0.5998221431747444,0.9096633336312058,4907,catboost,sex,Male
0.8615384615384616,0.5714285714285714,0.6666666666666666,0.5,0.8690476190476191,65,catboost,race,Amer-Indian-Eskimo
0.782608695652174,0.7204968944099379,0.8169014084507042,0.6444444444444445,0.871271748135874,207,catboost,race,Asian-Pac-Islander
0.9146341463414634,0.711340206185567,0.8846153846153846,0.5948275862068966,0.9594756454618046,656,catboost,race,Black
0.9166666666666666,0.7777777777777778,1.0,0.6363636363636364,0.975609756097561,48,catboost,race,Other
0.8193283935046508,0.7092846270928462,0.8809073724007561,0.5936305732484076,0.9238395118453498,6343,catboost,race,White
0.9166666666666666,0.6564102564102564,0.75,0.5835866261398176,0.9380870245825603,2412,hist_gradient_boosting,sex,Female
0.7843896474424292,0.7178666666666667,0.8997326203208557,0.5971606033717834,0.910520696645173,4907,hist_gradient_boosting,sex,Male
0.8923076923076924,0.631578947368421,0.6666666666666666,0.6,0.8849206349206349,65,hist_gradient_boosting,race,Amer-Indian-Eskimo
0.7777777777777778,0.7160493827160493,0.8169014084507042,0.6373626373626373,0.8687862468931236,207,hist_gradient_boosting,race,Asian-Pac-Islander
0.9115853658536586,0.7010309278350515,0.8717948717948718,0.5862068965517241,0.9606512288173188,656,hist_gradient_boosting,race,Black
0.875,0.6666666666666666,0.8571428571428571,0.5454545454545454,0.9721254355400697,48,hist_gradient_boosting,race,Other
0.8199590099322087,0.7102993404363267,0.8821676118462508,0.5944798301486199,0.9248571631469525,6343,hist_gradient_boosting,race,White
0.925787728026534,0.6150537634408603,0.55859375,0.6842105263157895,0.9217653858418366,2412,mlp,sex,Female
0.7866313429794172,0.6905113804315696,0.7807486631016043,0.6189719130895601,0.8769906499419148,4907,mlp,sex,Male
0.8769230769230769,0.5,0.4444444444444444,0.5714285714285714,0.8333333333333333,65,mlp,race,Amer-Indian-Eskimo
0.7729468599033816,0.6713286713286714,0.676056338028169,0.6666666666666666,0.8484879867439934,207,mlp,race,Asian-Pac-Islander
0.9176829268292683,0.6582278481012658,0.6666666666666666,0.65,0.9441487002040635,656,mlp,race,Black
0.875,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9407665505226481,48,mlp,race,Other
0.8248462872457828,0.6841057719647426,0.7580340264650284,0.6233160621761658,0.8977118015753524,6343,mlp,race,White
0.8225538971807629,0.37790697674418605,0.5078125,0.30092592592592593,0.7581132595083486,2412,tabular_transformer,sex,Female
0.7428163847564704,0.5851413543721236,0.5949197860962567,0.5756791720569211,0.7897497009517807,4907,tabular_transformer,sex,Male
0.8461538461538461,0.375,0.3333333333333333,0.42857142857142855,0.748015873015873,65,tabular_transformer,race,Amer-Indian-Eskimo
0.6473429951690821,0.4748201438848921,0.4647887323943662,0.4852941176470588,0.7058823529411765,207,tabular_transformer,race,Asian-Pac-Islander
0.8246951219512195,0.46511627906976744,0.6410256410256411,0.36496350364963503,0.8289637121817052,656,tabular_transformer,race,Black
0.7708333333333334,0.42105263157894735,0.5714285714285714,0.3333333333333333,0.8222996515679443,48,tabular_transformer,race,Other
0.7665142676966735,0.5567195450463933,0.5860113421550095,0.5302166476624858,0.7937636430989172,6343,tabular_transformer,race,White
0.9000829187396352,0.5894378194207837,0.67578125,0.5226586102719033,0.9165084357606678,2412,custom_architecture_hybrid_mit_both,sex,Female
0.776034236804565,0.677428823011447,0.7713903743315508,0.6038723181580324,0.8653634356916988,4907,custom_architecture_hybrid_mit_both,sex,Male
0.8615384615384616,0.5714285714285714,0.6666666666666666,0.5,0.8531746031746033,65,custom_architecture_hybrid_mit_both,race,Amer-Indian-Eskimo
0.7536231884057971,0.6751592356687898,0.7464788732394366,0.6162790697674418,0.8408243579121789,207,custom_architecture_hybrid_mit_both,race,Asian-Pac-Islander
0.9024390243902439,0.6444444444444445,0.7435897435897436,0.5686274509803921,0.9478528968148345,656,custom_architecture_hybrid_mit_both,race,Black
0.8333333333333334,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9303135888501742,48,custom_architecture_hybrid_mit_both,race,Other
0.8095538388775028,0.6664826062948647,0.7605545053560177,0.5931203931203931,0.8852859492841065,6343,custom_architecture_hybrid_mit_both,race,White
